mode,episode,success,insertion_time_s,peak_contact_force_N,rms_contact_force_N,peak_torque_Nm,jam,target_translation_displacement_m,target_rotation_displacement_deg,target_peak_linear_velocity_mps,target_peak_angular_velocity_dps,relative_final_position_error_m,relative_final_orientation_error_deg,final_insertion_depth_m,final_stage,contact_steps,target_final_linear_velocity_mps,target_final_angular_velocity_dps
floating_zero_velocity,20360859,0,9.6,0.0,0.0,0.0,0,0.0,1.6151254241806922e-16,0.0,0.0,0.007381280006194256,0.6963546036548682,0.0,CONTACT_SEARCH,0,0.0,0.0
floating_zero_velocity,20360860,1,4.464,12.40006887739591,1.2984946326966649,0.2485895611042014,0,0.030274701594131467,0.17385512326454236,0.04397896579936139,1.7231246487385479,0.007210225275644571,2.520074396519754,0.030419575827477476,SUCCESS,11,0.043715980356771295,0.4485339449157478
floating_zero_velocity,20360861,1,2.976,11.566424317687567,1.840925469883249,0.2808509267766436,0,0.02196355653056381,0.2169908981579228,0.05416203832051989,1.8268747006217954,0.007811272784302168,3.048338358202686,0.0301199754249917,SUCCESS,17,0.05271976238130072,0.03235064538944859
floating_zero_velocity,20360862,1,6.84,14.259486367406616,1.0315581327362822,0.35443965066514443,0,0.029081666414442736,0.08906236248450906,0.023427606668745,2.4850110364429194,0.00788099645559904,2.5218238003048485,0.030006718666958778,SUCCESS,9,0.017234381062117915,0.39311749077854047
floating_zero_velocity,20360863,0,9.6,12.222534404206872,1.5058520957193653,0.22303179146088029,1,0.4858687032691167,0.7023116848554839,0.06649908224099262,1.7993416994182934,0.011153287935781759,3.8879205213676524,0.00660358917309006,INSERTION,89,0.028118091541130825,0.006619468860817667
floating_zero_velocity,20360864,0,9.6,0.0,0.0,0.0,0,0.0,1.2424041724466862e-17,0.0,0.0,0.0061567115965607076,0.18086799035269657,0.0,CONTACT_SEARCH,0,0.0,0.0
floating_zero_velocity,20360865,0,9.6,13.983803762258962,1.6065668365898422,0.2446613849481337,1,0.42401050286019154,0.7006740250923186,0.06500911376870265,1.6893524622002232,0.009448203471756072,4.123595979464512,0.024352960682483087,INSERTION,67,0.05811826650312874,0.10389267311340604
floating_zero_velocity,20360866,0,9.6,15.811825790563447,0.7900676972024225,0.3851219239319904,0,0.06175212645667862,0.09766110049192832,0.025438488547140228,2.1893324127105367,0.0005653881897942781,0.516711819373827,0.02983868296819694,INSERTION,8,0.0028336671046534697,1.044431832577197e-68
floating_zero_velocity,20360867,0,9.6,13.95602268449478,0.6712760919022513,0.33766849913937524,0,0.055830789710413053,0.047076865263038635,0.01976849528278102,2.869873137348113,0.0009794835502186115,1.0401360139024396,0.029840899500779724,INSERTION,7,0.0011831085869459083,2.9868292711025815e-106
floating_zero_velocity,20360868,0,9.6,17.544520910946748,1.0576972809600986,0.45965246508024077,1,0.07267251084034354,0.11607185284964391,0.022343000825441484,1.9574681204204374,0.0048598295605800776,0.6138870392833639,0.02616836777886383,INSERTION,17,0.004915157100213846,0.008453212946350914
floating_zero_velocity,20360869,1,8.6,15.208947457172782,1.0207843391929539,0.36090239959946907,0,0.10073963597857788,0.19160533449362127,0.029535122134381555,2.5166643712732797,0.007950681412427017,2.4367238904061286,0.03003772886892114,SUCCESS,12,0.02067063189981444,3.9184932111803097e-14
floating_zero_velocity,20360870,1,6.5120000000000005,15.21450281421474,1.2879006083776294,0.3754820090686066,0,0.051235585690926136,0.1495614774783046,0.02610935023159829,2.5933197508348096,0.007605991608170169,2.6516773469930834,0.030816487395901437,SUCCESS,18,0.025490414820233443,0.03548375234090608
floating_zero_velocity,20360871,0,9.6,13.899740690462343,0.4958603881991474,0.33947532744179476,0,0.03020660982467258,0.07563555910286256,0.016203101970091532,2.812734817812459,0.0021614088352785803,1.1423458931513426,0.029812676893840772,INSERTION,3,0.007702011774283131,1.7129019837141738e-28
floating_zero_velocity,20360872,0,9.6,0.0,0.0,0.0,0,0.0,1.7393658414253607e-16,0.0,0.0,0.007264447304526961,0.5094475865909908,0.0,CONTACT_SEARCH,0,0.0,0.0
